time,heart_rate
2021-08-18 12:24:45,71
2021-08-18 12:24:55,70
2021-08-18 12:25:00,70
2021-08-18 12:25:05,70
2021-08-18 12:25:15,62
2021-08-18 12:25:20,60
2021-08-18 12:25:30,59
2021-08-18 12:25:45,59
2021-08-18 12:25:55,60
2021-08-18 12:26:00,61
2021-08-18 12:26:10,62
2021-08-18 12:26:25,62
2021-08-18 12:26:40,62
2021-08-18 12:26:45,59
2021-08-18 12:26:50,56
2021-08-18 12:26:55,54
2021-08-18 12:27:00,53
2021-08-18 12:27:05,52
2021-08-18 12:27:10,53
2021-08-18 12:27:15,55
2021-08-18 12:27:30,55
2021-08-18 12:27:45,56
2021-08-18 12:27:55,57
2021-08-18 12:28:00,58
2021-08-18 12:28:15,60
2021-08-18 12:28:20,59
2021-08-18 12:28:30,58
2021-08-18 12:28:35,57
2021-08-18 12:28:50,56
2021-08-18 12:29:05,57
2021-08-18 12:29:20,57
2021-08-18 12:29:25,55
2021-08-18 12:29:30,54
2021-08-18 12:29:40,56
2021-08-18 12:29:45,57
2021-08-18 12:30:02,58
2021-08-18 12:30:07,61
2021-08-18 12:30:22,60
2021-08-18 12:30:27,59
2021-08-18 12:30:37,60
2021-08-18 17:43:29,61
2021-08-18 17:43:44,61
2021-08-18 17:43:54,69
2021-08-18 17:43:59,69
2021-08-18 17:44:04,72
2021-08-18 17:44:09,79
2021-08-18 17:44:14,81
2021-08-18 17:44:19,80
2021-08-18 17:44:24,76
2021-08-18 17:44:29,75
2021-08-18 17:44:39,76
2021-08-18 17:44:54,76
2021-08-18 17:45:04,75
2021-08-18 17:45:09,73
2021-08-18 17:45:14,72
2021-08-18 17:45:29,72
2021-08-18 17:45:44,72
2021-08-18 17:45:59,72
2021-08-18 17:46:14,72
2021-08-18 17:46:29,72
2021-08-18 17:46:44,80
2021-08-18 17:46:49,82
2021-08-18 17:46:54,80
2021-08-18 17:46:59,72
2021-08-18 17:47:04,72
2021-08-18 17:47:09,72
2021-08-18 17:47:14,71
2021-08-18 17:47:24,72
2021-08-18 17:47:29,76
2021-08-18 17:47:34,84
2021-08-18 17:47:39,85
2021-08-18 17:47:44,77
2021-08-18 17:47:49,72
2021-08-18 17:47:54,73
2021-08-18 17:47:59,74
2021-08-18 17:48:04,75
2021-08-18 17:48:09,76
2021-08-18 17:48:14,77
2021-08-18 17:48:24,71
2021-08-18 17:48:31,70
2021-08-18 17:48:36,72
2021-08-18 17:48:51,72
2021-08-18 17:49:01,73
2021-08-18 17:49:06,74
2021-08-18 17:49:11,77
2021-08-18 17:49:16,74
2021-08-18 17:49:31,74
2021-08-18 17:49:46,74
2021-08-18 17:49:51,73
2021-08-18 17:49:56,74
2021-08-18 17:50:06,78
2021-08-18 17:50:11,80
2021-08-18 17:50:16,82
2021-08-18 17:50:21,79
2021-08-18 17:50:26,76
2021-08-18 17:50:31,71
2021-08-18 17:50:36,69
2021-08-18 17:50:41,68
2021-08-18 17:50:46,71
2021-08-18 17:50:51,75
2021-08-18 17:50:56,77
2021-08-18 17:51:01,76
2021-08-18 17:51:06,72
2021-08-18 17:51:11,71
2021-08-18 17:51:16,71
2021-08-18 17:51:21,73
2021-08-18 17:51:26,77
2021-08-18 17:51:31,79
2021-08-18 17:51:41,80
2021-08-18 17:51:46,78
2021-08-18 17:51:51,74
2021-08-18 17:51:56,73
2021-08-18 17:52:01,73
2021-08-18 17:52:16,75
2021-08-18 17:52:21,76
2021-08-18 17:52:26,76
2021-08-18 17:52:31,74
2021-08-18 17:52:36,73
2021-08-18 17:52:46,74
2021-08-18 17:52:56,75
2021-08-18 17:53:01,73
2021-08-18 17:53:06,72
2021-08-18 17:53:21,73
2021-08-18 17:53:26,74
2021-08-18 17:53:31,75
2021-08-18 17:53:36,74
2021-08-18 17:53:41,72
2021-08-18 17:53:51,71
2021-08-18 17:53:56,71
2021-08-18 17:54:01,72
2021-08-18 17:54:06,71
2021-08-18 17:54:21,71
2021-08-18 17:54:31,70
2021-08-18 17:54:36,70
2021-08-18 17:54:41,71
2021-08-18 17:54:51,72
2021-08-18 17:54:56,71
2021-08-18 17:55:06,70
2021-08-18 17:55:16,72
2021-08-18 17:55:21,73
2021-08-18 17:55:26,72
2021-08-18 17:55:41,74
2021-08-18 17:55:46,75
2021-08-18 17:55:51,76
2021-08-18 17:55:56,77
2021-08-18 17:56:06,76
2021-08-18 17:56:11,75
2021-08-18 17:56:21,77
2021-08-18 17:56:26,85
2021-08-18 17:56:31,87
2021-08-18 17:56:36,88
2021-08-18 17:56:41,87
2021-08-18 17:56:51,86
2021-08-18 17:56:56,85
2021-08-18 17:57:06,84
2021-08-18 17:57:16,79
2021-08-18 17:57:26,82
2021-08-18 17:57:36,80
2021-08-18 17:57:43,79
2021-08-18 17:57:53,75
2021-08-18 17:57:58,70
2021-08-18 17:58:13,70
2021-08-18 17:58:28,70
2021-08-18 17:58:33,71
2021-08-18 17:58:38,73
2021-08-18 17:58:43,74
2021-08-18 17:58:58,74
2021-08-18 17:59:10,74
2021-08-18 17:59:15,74
2021-08-18 17:59:20,74
2021-08-18 17:59:30,68
2021-08-18 17:59:35,64
2021-08-18 17:59:50,65
2021-08-18 17:59:55,66
2021-08-18 18:00:00,68
2021-08-18 18:00:05,70
2021-08-18 18:00:20,71
2021-08-18 18:00:35,71
2021-08-18 18:00:45,72
2021-08-18 18:01:00,72
2021-08-18 18:01:15,72
2021-08-18 18:01:20,73
2021-08-18 18:01:30,71
2021-08-18 18:01:45,71
2021-08-18 18:02:00,70
2021-08-18 18:02:05,69
2021-08-18 18:02:10,68
2021-08-18 18:02:25,68
2021-08-18 18:02:30,67
2021-08-18 18:02:35,66
2021-08-18 18:02:50,67
2021-08-18 18:03:05,67
