time,heart_rate
2021-09-12 08:10:35,80
2021-09-12 08:10:50,80
2021-09-12 08:11:05,80
2021-09-12 08:11:15,77
2021-09-12 08:11:20,77
2021-09-12 08:11:25,79
2021-09-12 08:11:35,78
2021-09-12 08:11:40,77
2021-09-12 08:11:50,76
2021-09-12 08:12:05,77
2021-09-12 08:12:20,78
2021-09-12 08:12:25,80
2021-09-12 08:12:35,79
2021-09-12 08:12:40,107
2021-09-12 08:12:45,115
2021-09-12 08:12:50,112
2021-09-12 08:12:55,110
2021-09-12 08:13:00,109
2021-09-12 08:13:05,107
2021-09-12 08:13:10,106
2021-09-12 08:13:15,105
2021-09-12 08:13:20,103
2021-09-12 08:13:25,99
2021-09-12 08:13:30,99
2021-09-12 08:13:35,98
2021-09-12 08:13:45,100
2021-09-12 08:13:50,104
2021-09-12 08:13:55,106
2021-09-12 08:14:00,105
2021-09-12 08:14:15,106
2021-09-12 08:14:20,107
2021-09-12 08:14:35,107
2021-09-12 08:14:40,108
2021-09-12 08:14:45,109
2021-09-12 08:15:00,107
2021-09-12 08:15:05,107
2021-09-12 08:15:10,106
2021-09-12 08:15:15,106
2021-09-12 08:15:20,107
2021-09-12 08:15:35,106
2021-09-12 08:15:40,105
2021-09-12 08:15:45,102
2021-09-12 08:15:50,99
2021-09-12 08:15:55,101
2021-09-12 08:16:00,99
2021-09-12 08:16:05,96
2021-09-12 08:16:20,96
2021-09-12 08:16:25,98
2021-09-12 08:16:30,102
2021-09-12 08:16:35,104
2021-09-12 08:16:40,104
2021-09-12 08:16:55,104
2021-09-12 08:17:00,102
2021-09-12 08:17:05,101
2021-09-12 08:17:20,101
2021-09-12 08:17:25,102
2021-09-12 08:17:35,103
2021-09-12 08:17:40,104
2021-09-12 08:17:45,108
2021-09-12 08:17:50,100
2021-09-12 08:17:55,97
2021-09-12 08:18:05,96
2021-09-12 08:18:10,95
2021-09-12 08:18:15,98
2021-09-12 08:18:20,97
2021-09-12 08:18:25,98
2021-09-12 08:18:35,100
2021-09-12 08:18:40,104
2021-09-12 08:18:45,105
2021-09-12 08:18:50,104
2021-09-12 08:19:00,105
2021-09-12 08:19:05,107
2021-09-12 08:19:10,105
2021-09-12 08:19:15,99
2021-09-12 08:19:20,96
2021-09-12 08:19:35,99
2021-09-12 08:19:40,100
2021-09-12 08:19:45,100
2021-09-12 08:19:50,99
2021-09-12 08:20:00,100
2021-09-12 08:20:05,101
2021-09-12 08:20:10,102
2021-09-12 08:20:20,103
2021-09-12 08:20:25,104
2021-09-12 08:20:40,104
2021-09-12 08:20:45,102
2021-09-12 08:20:50,99
2021-09-12 08:21:05,101
2021-09-12 08:21:10,102
2021-09-12 08:21:15,104
2021-09-12 08:21:20,108
2021-09-12 08:21:25,112
2021-09-12 08:21:30,114
2021-09-12 08:21:40,112
2021-09-12 08:21:45,111
2021-09-12 08:21:50,110
2021-09-12 08:21:55,108
2021-09-12 08:22:05,109
2021-09-12 08:22:10,108
2021-09-12 08:22:15,106
2021-09-12 08:22:20,104
2021-09-12 08:22:35,105
2021-09-12 08:22:50,105
2021-09-12 08:22:55,106
2021-09-12 08:23:00,107
2021-09-12 08:23:05,105
2021-09-12 08:23:20,106
2021-09-12 08:23:30,105
2021-09-12 08:23:35,97
2021-09-12 08:23:40,91
2021-09-12 08:23:45,89
2021-09-12 08:24:00,90
2021-09-12 08:24:05,95
2021-09-12 08:24:15,96
2021-09-12 08:24:20,97
2021-09-12 08:24:25,93
2021-09-12 08:24:30,96
2021-09-12 08:24:35,100
2021-09-12 08:24:40,101
2021-09-12 08:24:50,108
2021-09-12 08:24:55,116
2021-09-12 08:25:00,118
2021-09-12 08:25:05,119
2021-09-12 08:25:15,118
2021-09-12 08:25:20,116
2021-09-12 08:25:25,114
2021-09-12 08:25:30,113
2021-09-12 08:25:45,111
2021-09-12 08:26:00,110
2021-09-12 08:26:05,111
2021-09-12 08:26:10,112
2021-09-12 08:26:20,110
2021-09-12 08:26:25,111
2021-09-12 08:26:30,112
2021-09-12 08:26:35,113
2021-09-12 08:26:50,110
2021-09-12 08:26:55,108
2021-09-12 08:27:10,108
2021-09-12 08:27:25,107
2021-09-12 08:27:35,110
2021-09-12 08:27:40,112
2021-09-12 08:27:45,113
2021-09-12 08:28:00,113
2021-09-12 08:28:10,116
2021-09-12 08:28:15,117
2021-09-12 08:28:25,118
2021-09-12 08:28:35,117
2021-09-12 08:28:45,121
2021-09-12 08:28:50,123
2021-09-12 08:29:06,123
2021-09-12 08:29:11,124
2021-09-12 08:29:26,123
2021-09-12 08:29:31,126
2021-09-12 08:29:36,127
2021-09-12 08:29:41,130
2021-09-12 08:29:51,126
2021-09-12 08:29:56,125
2021-09-12 08:30:01,128
2021-09-12 08:30:06,127
2021-09-12 08:30:11,123
2021-09-12 08:30:16,120
2021-09-12 08:30:26,122
2021-09-12 08:30:31,125
2021-09-12 08:30:36,127
2021-09-12 08:30:41,130
2021-09-12 08:30:46,132
2021-09-12 08:30:51,133
2021-09-12 08:30:56,132
2021-09-12 08:31:01,131
2021-09-12 08:31:06,133
2021-09-12 08:31:16,132
2021-09-12 08:31:31,133
2021-09-12 08:31:46,133
2021-09-12 08:31:51,134
2021-09-12 08:32:06,134
2021-09-12 08:32:11,133
2021-09-12 08:32:16,133
2021-09-12 08:32:31,133
2021-09-12 08:32:41,132
2021-09-12 08:32:56,129
2021-09-12 08:33:01,130
2021-09-12 08:33:06,128
2021-09-12 08:33:11,125
2021-09-12 08:33:16,131
2021-09-12 08:33:21,133
2021-09-12 08:33:26,130
2021-09-12 08:33:36,131
2021-09-12 08:33:41,132
2021-09-12 08:33:46,133
2021-09-12 08:33:56,135
2021-09-12 08:34:11,136
2021-09-12 08:34:26,136
2021-09-12 08:34:41,136
2021-09-12 08:34:51,135
2021-09-12 08:34:56,134
2021-09-12 08:35:01,132
2021-09-12 08:35:06,129
2021-09-12 08:35:11,126
2021-09-12 08:35:21,127
2021-09-12 08:35:31,129
2021-09-12 08:35:36,130
2021-09-12 08:35:41,132
