time,heart_rate
2021-09-18 00:00:08,72
2021-09-18 00:00:13,84
2021-09-18 00:00:18,91
2021-09-18 00:00:23,97
2021-09-18 00:00:28,86
2021-09-18 00:00:33,75
2021-09-18 00:00:38,70
2021-09-18 00:00:43,63
2021-09-18 00:00:48,61
2021-09-18 00:00:53,59
2021-09-18 00:01:03,60
2021-09-18 00:01:18,60
2021-09-18 00:01:23,61
2021-09-18 00:01:28,63
2021-09-18 00:01:33,65
2021-09-18 00:01:38,63
2021-09-18 00:01:43,61
2021-09-18 00:01:58,61
2021-09-18 00:02:03,63
2021-09-18 00:02:13,63
2021-09-18 00:02:23,64
2021-09-18 00:02:33,65
2021-09-18 00:02:38,70
2021-09-18 00:02:43,76
2021-09-18 00:02:48,80
2021-09-18 00:02:53,74
2021-09-18 00:02:58,71
2021-09-18 00:03:03,63
2021-09-18 00:03:08,59
2021-09-18 00:03:13,58
2021-09-18 00:03:18,59
2021-09-18 00:03:23,58
2021-09-18 00:03:28,53
2021-09-18 00:03:38,55
2021-09-18 00:03:43,56
2021-09-18 00:03:48,59
2021-09-18 00:03:53,61
2021-09-18 00:03:58,62
2021-09-18 00:04:03,65
2021-09-18 00:04:08,64
2021-09-18 00:04:13,62
2021-09-18 00:04:18,61
2021-09-18 00:04:23,59
2021-09-18 00:04:38,60
2021-09-18 00:04:43,61
2021-09-18 00:04:58,60
2021-09-18 00:05:08,59
2021-09-18 00:05:23,60
2021-09-18 00:05:28,61
2021-09-18 00:05:38,60
2021-09-18 00:05:48,59
2021-09-18 00:05:58,56
2021-09-18 00:06:03,55
2021-09-18 00:06:13,56
2021-09-18 00:06:18,57
2021-09-18 00:06:23,58
2021-09-18 00:06:28,59
2021-09-18 00:06:43,59
2021-09-18 00:06:48,60
2021-09-18 00:07:03,59
2021-09-18 00:07:08,58
2021-09-18 00:07:18,59
2021-09-18 00:07:23,60
2021-09-18 00:07:38,59
2021-09-18 00:07:43,58
2021-09-18 00:07:58,59
2021-09-18 00:08:08,60
2021-09-18 00:08:18,59
2021-09-18 00:08:33,59
2021-09-18 00:08:38,57
2021-09-18 00:08:48,60
2021-09-18 00:08:53,58
2021-09-18 00:08:58,57
2021-09-18 00:09:08,58
2021-09-18 00:09:13,59
2021-09-18 00:09:18,59
2021-09-18 00:09:23,58
2021-09-18 00:09:38,57
2021-09-18 00:09:43,57
2021-09-18 00:09:53,58
2021-09-18 00:09:58,60
2021-09-18 00:10:03,69
2021-09-18 00:10:08,75
2021-09-18 00:10:13,76
2021-09-18 00:10:18,72
2021-09-18 00:10:23,65
2021-09-18 00:10:28,63
2021-09-18 00:10:33,61
2021-09-18 00:10:38,58
2021-09-18 00:10:48,57
2021-09-18 00:10:58,58
2021-09-18 00:11:13,58
2021-09-18 00:11:28,58
2021-09-18 00:11:43,57
2021-09-18 00:11:58,57
2021-09-18 00:12:03,58
2021-09-18 00:12:13,59
2021-09-18 00:12:18,59
2021-09-18 00:12:23,61
2021-09-18 00:12:28,71
2021-09-18 00:12:33,70
2021-09-18 00:12:38,60
2021-09-18 00:12:43,56
2021-09-18 00:12:53,57
2021-09-18 00:12:58,59
2021-09-18 00:13:03,60
2021-09-18 00:13:18,59
2021-09-18 00:13:23,55
2021-09-18 00:13:28,54
2021-09-18 00:13:33,56
2021-09-18 00:13:38,58
2021-09-18 00:13:43,59
2021-09-18 00:13:48,61
2021-09-18 00:13:53,60
2021-09-18 00:13:58,59
2021-09-18 00:14:13,59
2021-09-18 00:14:28,59
2021-09-18 00:14:38,60
2021-09-18 00:14:53,60
2021-09-18 00:15:08,59
2021-09-18 00:15:13,58
2021-09-18 00:15:28,59
2021-09-18 00:15:34,60
2021-09-18 00:15:39,59
2021-09-18 00:15:49,60
2021-09-18 00:15:59,59
2021-09-18 00:16:09,60
2021-09-18 00:16:19,59
2021-09-18 00:16:34,60
2021-09-18 00:16:44,59
2021-09-18 00:16:59,61
2021-09-18 00:17:04,60
2021-09-18 00:17:14,60
2021-09-18 00:17:29,60
2021-09-18 00:17:34,58
2021-09-18 00:17:39,57
2021-09-18 00:17:44,58
2021-09-18 00:17:49,59
2021-09-18 00:17:59,60
2021-09-18 00:18:04,59
2021-09-18 00:18:09,60
2021-09-18 00:18:19,59
2021-09-18 00:18:29,60
2021-09-18 00:18:34,59
2021-09-18 00:18:39,58
2021-09-18 00:18:49,59
2021-09-18 00:18:54,60
2021-09-18 00:18:59,61
2021-09-18 00:19:09,62
2021-09-18 00:19:14,69
2021-09-18 00:19:19,66
2021-09-18 00:19:24,62
2021-09-18 00:19:29,59
2021-09-18 00:19:34,59
2021-09-18 00:19:39,62
2021-09-18 00:19:44,63
2021-09-18 00:19:59,62
2021-09-18 00:20:09,63
2021-09-18 00:20:19,66
2021-09-18 00:20:24,75
2021-09-18 00:20:29,82
2021-09-18 00:20:34,81
2021-09-18 00:20:39,77
2021-09-18 00:20:44,67
2021-09-18 00:20:49,63
2021-09-18 00:20:54,62
2021-09-18 00:21:04,61
2021-09-18 00:21:09,60
2021-09-18 00:21:14,59
2021-09-18 00:21:24,58
2021-09-18 00:21:39,59
2021-09-18 00:21:49,60
2021-09-18 00:21:59,61
2021-09-18 00:22:09,60
2021-09-18 00:22:14,59
2021-09-18 00:22:29,59
2021-09-18 00:22:34,60
2021-09-18 00:22:39,61
2021-09-18 00:22:54,61
2021-09-18 00:22:59,60
2021-09-18 00:23:09,61
2021-09-18 00:23:24,61
2021-09-18 00:23:39,61
2021-09-18 00:23:44,62
2021-09-18 00:23:49,61
2021-09-18 00:23:54,60
2021-09-18 00:23:59,58
2021-09-18 00:24:04,56
2021-09-18 00:24:19,57
2021-09-18 00:24:24,58
2021-09-18 00:24:34,59
2021-09-18 00:24:39,60
2021-09-18 00:24:44,61
2021-09-18 00:24:49,60
2021-09-18 00:24:54,59
2021-09-18 00:24:59,57
2021-09-18 00:25:04,58
2021-09-18 00:25:09,59
2021-09-18 00:25:24,60
2021-09-18 00:25:39,61
2021-09-18 00:25:49,60
2021-09-18 00:25:54,60
2021-09-18 00:26:09,61
2021-09-18 00:26:14,62
2021-09-18 00:26:19,60
2021-09-18 00:26:24,58
2021-09-18 00:26:34,59
2021-09-18 00:26:49,60
2021-09-18 00:26:59,61
2021-09-18 00:27:04,60
2021-09-18 00:27:09,59
2021-09-18 00:27:14,58
2021-09-18 00:27:19,62
2021-09-18 00:27:29,57
2021-09-18 00:27:34,55
2021-09-18 00:27:44,57
2021-09-18 00:27:49,60
2021-09-18 00:27:54,62
2021-09-18 00:27:59,61
2021-09-18 00:28:04,60
2021-09-18 00:28:09,61
2021-09-18 00:28:14,63
2021-09-18 00:28:19,71
2021-09-18 00:28:24,78
2021-09-18 00:28:29,80
2021-09-18 00:28:34,72
2021-09-18 00:28:39,63
2021-09-18 00:28:44,60
2021-09-18 00:28:59,60
2021-09-18 00:29:04,58
2021-09-18 00:29:14,59
2021-09-18 00:29:19,60
2021-09-18 00:29:24,61
2021-09-18 00:29:29,62
2021-09-18 00:29:34,61
2021-09-18 00:29:39,60
2021-09-18 00:29:54,60
2021-09-18 00:30:04,61
2021-09-18 00:30:19,62
2021-09-18 00:30:34,62
2021-09-18 00:30:39,63
2021-09-18 00:30:44,62
2021-09-18 00:30:49,61
2021-09-18 00:31:04,61
2021-09-18 00:31:19,61
2021-09-18 00:31:29,60
2021-09-18 00:31:39,59
2021-09-18 00:31:44,58
2021-09-18 00:31:54,59
2021-09-18 00:31:59,60
2021-09-18 00:32:04,61
2021-09-18 00:32:09,60
2021-09-18 00:32:14,59
2021-09-18 00:32:19,59
2021-09-18 00:32:24,58
2021-09-18 00:32:29,57
2021-09-18 00:32:35,57
2021-09-18 00:32:45,58
2021-09-18 00:32:50,59
2021-09-18 00:33:00,58
2021-09-18 00:33:15,59
2021-09-18 00:33:30,59
2021-09-18 00:33:45,60
2021-09-18 00:34:00,60
2021-09-18 00:34:05,61
2021-09-18 00:34:10,61
2021-09-18 00:34:15,59
2021-09-18 00:34:20,56
2021-09-18 00:34:25,54
2021-09-18 00:34:30,55
2021-09-18 00:34:35,57
2021-09-18 00:34:40,60
2021-09-18 00:34:45,61
2021-09-18 00:34:50,59
2021-09-18 00:35:00,60
2021-09-18 00:35:05,61
2021-09-18 00:35:10,62
2021-09-18 00:35:20,61
2021-09-18 00:35:25,59
2021-09-18 00:35:40,59
2021-09-18 00:35:45,60
2021-09-18 00:36:00,60
2021-09-18 00:36:10,61
2021-09-18 00:36:15,60
2021-09-18 00:36:30,60
2021-09-18 00:36:45,61
2021-09-18 00:37:00,61
2021-09-18 00:37:05,60
2021-09-18 00:37:15,61
2021-09-18 00:37:30,62
2021-09-18 00:37:35,61
2021-09-18 00:37:40,58
2021-09-18 00:37:50,59
2021-09-18 00:38:00,60
2021-09-18 00:38:15,61
2021-09-18 00:38:25,60
2021-09-18 00:38:30,59
2021-09-18 00:38:45,59
2021-09-18 00:38:50,60
2021-09-18 00:38:55,61
2021-09-18 00:39:10,60
2021-09-18 00:39:15,61
2021-09-18 00:39:20,60
2021-09-18 00:39:25,59
2021-09-18 00:39:30,60
2021-09-18 00:39:40,59
2021-09-18 00:39:45,58
2021-09-18 00:39:50,59
2021-09-18 00:40:05,60
2021-09-18 00:40:20,58
2021-09-18 00:40:25,58
2021-09-18 00:40:35,59
2021-09-18 00:40:40,60
2021-09-18 00:40:45,61
2021-09-18 00:40:50,62
2021-09-18 00:40:55,61
2021-09-18 00:41:05,60
2021-09-18 00:41:10,57
2021-09-18 00:41:20,58
2021-09-18 00:41:35,58
2021-09-18 00:41:50,67
2021-09-18 00:41:55,77
2021-09-18 00:42:00,76
2021-09-18 00:42:05,69
2021-09-18 00:42:10,63
2021-09-18 00:42:15,62
2021-09-18 00:42:20,61
2021-09-18 00:42:25,62
2021-09-18 00:42:30,60
2021-09-18 00:42:35,58
2021-09-18 00:42:50,59
2021-09-18 00:42:55,59
2021-09-18 00:43:05,57
2021-09-18 00:43:20,55
2021-09-18 00:43:30,56
2021-09-18 00:43:35,57
2021-09-18 00:43:40,59
2021-09-18 00:43:45,60
2021-09-18 00:43:50,59
2021-09-18 00:44:05,60
2021-09-18 00:44:15,58
2021-09-18 00:44:30,58
2021-09-18 00:44:35,59
2021-09-18 00:44:50,60
2021-09-18 00:44:55,60
2021-09-18 00:45:00,61
2021-09-18 00:45:15,63
2021-09-18 00:45:20,65
2021-09-18 00:45:25,61
2021-09-18 00:45:30,57
2021-09-18 00:45:40,58
2021-09-18 00:45:45,57
2021-09-18 00:45:55,58
2021-09-18 00:46:00,59
2021-09-18 00:46:05,57
2021-09-18 00:46:10,53
2021-09-18 00:46:20,54
2021-09-18 00:46:25,55
2021-09-18 00:46:30,56
2021-09-18 00:46:35,57
2021-09-18 00:46:40,58
2021-09-18 00:46:55,58
2021-09-18 00:47:00,56
2021-09-18 00:47:05,55
2021-09-18 00:47:10,56
2021-09-18 00:47:15,57
2021-09-18 00:47:30,57
2021-09-18 00:47:40,58
2021-09-18 00:47:45,56
2021-09-18 00:47:50,54
2021-09-18 00:48:00,56
2021-09-18 00:48:10,54
2021-09-18 00:48:15,53
2021-09-18 00:48:20,54
2021-09-18 00:48:25,58
2021-09-18 00:48:30,61
2021-09-18 00:48:35,62
2021-09-18 00:48:40,65
2021-09-18 00:48:45,64
2021-09-18 00:49:00,65
2021-09-18 00:49:05,66
2021-09-18 00:49:15,67
2021-09-18 00:49:20,67
2021-09-18 00:49:30,65
2021-09-18 00:49:35,61
2021-09-18 00:49:41,63
2021-09-18 00:49:46,68
2021-09-18 00:49:51,69
2021-09-18 00:49:56,68
2021-09-18 00:50:01,69
2021-09-18 00:50:06,70
2021-09-18 00:50:16,78
2021-09-18 00:50:21,87
2021-09-18 00:50:26,87
2021-09-18 00:50:31,83
2021-09-18 00:50:36,81
2021-09-18 00:50:41,68
2021-09-18 00:50:46,62
2021-09-18 00:50:51,61
2021-09-18 00:50:56,62
2021-09-18 00:51:01,63
2021-09-18 00:51:06,64
2021-09-18 00:51:16,66
2021-09-18 00:51:26,65
2021-09-18 00:51:31,64
2021-09-18 00:51:41,68
2021-09-18 00:51:46,71
2021-09-18 00:51:51,72
2021-09-18 00:52:01,81
2021-09-18 00:52:06,82
2021-09-18 00:52:11,75
2021-09-18 00:52:16,67
2021-09-18 00:52:21,62
2021-09-18 00:52:26,61
2021-09-18 00:52:41,61
2021-09-18 00:52:51,63
2021-09-18 00:52:56,67
2021-09-18 00:53:01,69
2021-09-18 00:53:06,71
2021-09-18 00:53:16,68
2021-09-18 00:53:21,64
2021-09-18 00:53:26,61
2021-09-18 00:53:31,60
2021-09-18 00:53:36,61
2021-09-18 00:53:41,62
2021-09-18 00:53:46,63
2021-09-18 00:53:51,65
2021-09-18 00:54:01,63
2021-09-18 00:54:06,61
2021-09-18 00:54:11,59
2021-09-18 00:54:16,58
2021-09-18 00:54:21,59
