time,heart_rate
2021-08-19 00:00:01,92
2021-08-19 00:00:11,93
2021-08-19 00:00:16,94
2021-08-19 00:00:21,93
2021-08-19 00:00:36,94
2021-08-19 00:00:46,95
2021-08-19 00:00:51,96
2021-08-19 00:01:01,97
2021-08-19 00:01:11,99
2021-08-19 00:01:16,100
2021-08-19 00:01:26,95
2021-08-19 00:01:31,94
2021-08-19 00:01:36,95
2021-08-19 00:01:41,96
2021-08-19 00:01:46,95
2021-08-19 00:01:51,93
2021-08-19 00:01:56,92
2021-08-19 00:02:11,92
2021-08-19 00:02:21,98
2021-08-19 00:02:26,108
2021-08-19 00:02:31,114
2021-08-19 00:02:36,120
2021-08-19 00:02:41,119
2021-08-19 00:02:46,118
2021-08-19 00:02:51,117
2021-08-19 00:02:56,112
2021-08-19 00:03:01,110
2021-08-19 00:03:06,108
2021-08-19 00:03:11,103
2021-08-19 00:03:16,105
2021-08-19 00:03:21,109
2021-08-19 00:03:31,106
2021-08-19 00:03:36,97
2021-08-19 00:03:41,93
2021-08-19 00:03:46,87
2021-08-19 00:03:51,86
2021-08-19 00:03:56,87
2021-08-19 00:04:06,88
2021-08-19 00:04:11,89
2021-08-19 00:04:16,90
2021-08-19 00:04:21,91
2021-08-19 00:04:31,92
2021-08-19 00:04:41,91
2021-08-19 00:04:56,92
2021-08-19 00:05:06,91
2021-08-19 00:05:11,90
2021-08-19 00:05:16,96
2021-08-19 00:05:21,98
2021-08-19 00:05:26,97
2021-08-19 00:05:41,97
2021-08-19 00:05:51,98
2021-08-19 00:06:01,99
2021-08-19 00:06:06,98
2021-08-19 00:06:16,99
2021-08-19 00:06:26,98
2021-08-19 00:06:31,97
2021-08-19 00:06:36,96
2021-08-19 00:06:46,97
2021-08-19 00:06:51,105
2021-08-19 00:06:56,114
2021-08-19 00:07:01,121
2021-08-19 00:07:06,132
2021-08-19 00:07:11,140
2021-08-19 00:07:16,142
2021-08-19 00:07:26,141
2021-08-19 00:07:31,139
2021-08-19 00:07:36,136
2021-08-19 00:07:41,131
2021-08-19 00:07:46,125
2021-08-19 00:07:51,121
2021-08-19 00:07:56,114
2021-08-19 00:08:01,112
2021-08-19 00:08:11,115
2021-08-19 00:08:16,120
2021-08-19 00:08:21,127
2021-08-19 00:08:26,128
2021-08-19 00:08:36,127
2021-08-19 00:08:41,119
