time,heart_rate
2021-08-17 01:19:14,42
2021-08-17 01:19:19,65
2021-08-17 01:19:24,68
2021-08-17 01:19:29,63
2021-08-17 01:19:34,64
2021-08-17 01:19:39,60
2021-08-17 01:19:44,61
2021-08-17 01:19:49,58
2021-08-17 01:19:59,59
2021-08-17 01:20:04,61
2021-08-17 01:20:09,60
2021-08-17 01:20:14,62
2021-08-17 01:20:29,62
2021-08-17 08:10:00,69
2021-08-17 08:10:05,68
2021-08-17 08:10:10,69
2021-08-17 08:10:15,71
2021-08-17 08:10:20,74
2021-08-17 08:10:30,75
2021-08-17 08:10:45,74
2021-08-17 08:11:00,75
2021-08-17 08:11:10,74
2021-08-17 08:11:20,75
2021-08-17 08:11:25,76
2021-08-17 08:11:30,77
2021-08-17 08:11:35,76
2021-08-17 08:11:50,75
2021-08-17 08:12:05,75
2021-08-17 08:12:10,74
2021-08-17 08:12:25,74
2021-08-17 08:12:30,74
2021-08-17 08:12:45,74
2021-08-17 08:13:47,74
2021-08-17 08:14:02,82
2021-08-17 08:14:07,94
2021-08-17 08:14:12,97
2021-08-17 08:14:17,89
2021-08-17 08:14:22,85
2021-08-17 08:14:37,84
2021-08-17 08:14:42,83
2021-08-17 08:14:47,80
2021-08-17 08:14:52,79
2021-08-17 08:15:02,80
2021-08-17 08:15:17,81
2021-08-17 09:00:09,81
2021-08-17 09:00:24,73
2021-08-17 09:00:29,75
2021-08-17 09:00:34,78
2021-08-17 09:00:39,80
2021-08-17 09:00:54,80
2021-08-17 09:00:59,79
2021-08-17 09:01:04,77
2021-08-17 09:01:19,77
2021-08-17 09:01:34,75
2021-08-17 09:02:04,75
2021-08-17 09:02:19,75
2021-08-17 09:02:24,84
2021-08-17 09:02:34,85
2021-08-17 09:04:16,85
2021-08-17 09:04:31,93
2021-08-17 09:04:36,108
2021-08-17 09:08:52,115
2021-08-17 09:09:07,165
2021-08-17 09:09:12,125
2021-08-17 09:09:17,97
2021-08-17 09:09:22,94
2021-08-17 09:09:27,98
2021-08-17 09:09:32,123
2021-08-17 09:09:37,165
2021-08-17 09:09:42,90
2021-08-17 09:09:57,91
2021-08-17 09:10:02,93
2021-08-17 09:10:12,96
2021-08-17 09:10:17,101
2021-08-17 09:10:22,106
2021-08-17 09:10:27,109
2021-08-17 09:10:32,111
2021-08-17 09:10:37,114
2021-08-17 09:10:42,115
2021-08-17 09:10:52,120
2021-08-17 09:10:57,124
2021-08-17 09:11:12,128
2021-08-17 09:11:17,127
2021-08-17 09:11:27,128
2021-08-17 09:11:32,130
2021-08-17 09:11:37,127
2021-08-17 09:11:42,125
2021-08-17 09:11:52,127
2021-08-17 09:11:57,130
2021-08-17 09:12:02,132
2021-08-17 09:12:07,130
2021-08-17 09:12:12,132
2021-08-17 09:12:27,133
2021-08-17 09:12:32,136
2021-08-17 09:12:37,140
2021-08-17 09:12:42,144
2021-08-17 09:12:57,142
2021-08-17 09:13:02,140
2021-08-17 09:13:12,139
2021-08-17 09:13:27,138
2021-08-17 09:14:07,138
2021-08-17 09:14:22,138
2021-08-17 09:14:27,138
2021-08-17 09:14:32,167
2021-08-17 09:14:37,187
2021-08-17 09:14:52,187
2021-08-17 09:15:07,185
2021-08-17 09:15:12,183
2021-08-17 09:15:17,182
2021-08-17 09:15:22,180
2021-08-17 09:15:27,178
2021-08-17 09:15:32,176
2021-08-17 09:15:37,174
2021-08-17 09:15:42,173
2021-08-17 09:15:47,171
2021-08-17 09:15:52,170
2021-08-17 09:15:57,168
2021-08-17 09:16:02,166
2021-08-17 09:16:07,131
2021-08-17 09:16:12,112
2021-08-17 09:16:27,112
2021-08-17 09:16:32,108
2021-08-17 09:16:37,105
2021-08-17 09:16:42,102
2021-08-17 09:16:47,98
2021-08-17 09:16:52,94
2021-08-17 09:16:57,93
2021-08-17 09:17:02,89
2021-08-17 09:17:07,92
2021-08-17 09:17:12,104
2021-08-17 09:17:22,101
2021-08-17 09:17:27,100
2021-08-17 09:17:37,99
2021-08-17 09:17:42,98
2021-08-17 09:17:47,95
2021-08-17 09:17:52,93
2021-08-17 09:17:57,92
2021-08-17 09:18:02,91
2021-08-17 09:18:07,88
2021-08-17 09:18:12,87
2021-08-17 09:18:22,86
2021-08-17 09:18:27,85
2021-08-17 09:18:33,86
2021-08-17 09:18:38,80
2021-08-17 09:18:43,78
2021-08-17 09:18:53,82
2021-08-17 09:18:58,83
2021-08-17 09:19:03,84
2021-08-17 09:19:13,83
2021-08-17 09:19:23,85
2021-08-17 09:19:28,84
2021-08-17 09:19:33,87
2021-08-17 09:19:38,89
2021-08-17 09:19:43,90
2021-08-17 09:19:53,91
2021-08-17 09:19:58,87
2021-08-17 09:20:03,86
2021-08-17 09:20:08,90
2021-08-17 09:20:13,94
2021-08-17 09:20:18,95
2021-08-17 09:20:23,99
2021-08-17 09:20:28,97
2021-08-17 09:20:33,96
2021-08-17 09:20:38,99
