time,heart_rate
2021-08-26 00:00:09,63
2021-08-26 00:00:14,62
2021-08-26 00:00:29,62
2021-08-26 00:00:39,63
2021-08-26 00:00:44,64
2021-08-26 00:00:54,63
2021-08-26 00:01:09,64
2021-08-26 00:01:24,64
2021-08-26 00:01:29,63
2021-08-26 00:01:44,62
2021-08-26 00:01:49,62
2021-08-26 00:02:04,62
2021-08-26 00:02:14,63
2021-08-26 00:02:24,64
2021-08-26 00:02:39,62
2021-08-26 00:02:54,62
2021-08-26 00:02:59,61
2021-08-26 00:03:04,62
2021-08-26 00:03:19,62
2021-08-26 00:03:29,63
2021-08-26 00:03:39,65
2021-08-26 00:03:44,66
2021-08-26 00:03:49,64
2021-08-26 00:03:54,63
2021-08-26 00:03:59,62
2021-08-26 00:04:04,62
2021-08-26 00:04:19,70
2021-08-26 00:04:24,79
2021-08-26 00:04:29,87
2021-08-26 00:04:34,90
2021-08-26 00:04:39,89
2021-08-26 00:04:44,84
2021-08-26 00:04:49,82
2021-08-26 00:04:54,80
2021-08-26 00:04:59,80
2021-08-26 00:05:04,74
2021-08-26 00:05:09,68
2021-08-26 00:05:14,69
2021-08-26 00:05:19,68
2021-08-26 00:05:24,65
2021-08-26 00:05:29,64
2021-08-26 00:05:34,65
2021-08-26 00:05:39,64
2021-08-26 00:05:54,64
2021-08-26 00:05:59,66
2021-08-26 00:06:04,69
2021-08-26 00:06:09,67
2021-08-26 00:06:14,65
2021-08-26 00:06:19,64
2021-08-26 00:06:30,65
2021-08-26 00:06:35,64
2021-08-26 00:06:40,66
2021-08-26 00:06:50,65
2021-08-26 00:07:00,65
2021-08-26 00:07:05,66
2021-08-26 00:07:10,67
2021-08-26 00:07:15,68
2021-08-26 00:07:20,75
2021-08-26 00:07:25,83
2021-08-26 00:07:30,88
2021-08-26 00:07:35,82
2021-08-26 00:07:40,69
2021-08-26 00:07:45,63
2021-08-26 00:07:50,59
2021-08-26 00:07:55,58
2021-08-26 00:08:05,61
2021-08-26 00:08:10,66
2021-08-26 00:08:15,72
2021-08-26 00:08:20,75
2021-08-26 00:08:25,70
2021-08-26 00:08:30,66
2021-08-26 00:08:35,64
2021-08-26 00:08:45,65
2021-08-26 00:08:50,68
2021-08-26 00:08:55,70
2021-08-26 00:09:00,73
2021-08-26 00:09:05,75
2021-08-26 00:09:10,79
2021-08-26 00:09:15,79
2021-08-26 00:09:20,73
2021-08-26 00:09:25,68
2021-08-26 00:09:30,63
2021-08-26 00:09:35,64
2021-08-26 00:09:40,65
2021-08-26 00:09:45,64
2021-08-26 00:09:50,66
2021-08-26 00:09:55,71
2021-08-26 00:10:00,69
2021-08-26 00:10:05,64
2021-08-26 00:10:10,61
2021-08-26 00:10:15,62
2021-08-26 00:10:25,63
2021-08-26 00:10:40,67
2021-08-26 00:10:45,72
2021-08-26 00:10:50,71
2021-08-26 00:10:55,66
2021-08-26 00:11:00,62
2021-08-26 00:11:05,61
